Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25070627,AMPLICON,602,38664052,PRJNA988238,SAMN36007517,Metagenome or environmental,22319098,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824630,USA,North America,"USA: Corvallis\, OR",30_C2,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,30_C2,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,30_C2,SRP446524
SRR25070628,AMPLICON,602,24745210,PRJNA988238,SAMN36007516,Metagenome or environmental,14364374,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824629,USA,North America,"USA: Corvallis\, OR",18_B29,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,18_B29,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,18_B29,SRP446524
SRR25070629,AMPLICON,602,37058518,PRJNA988238,SAMN36007515,Metagenome or environmental,20991770,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824628,USA,North America,"USA: Corvallis\, OR",6_Hystyle,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,6_Hystyle,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,6_Hystyle,SRP446524
SRR25070630,AMPLICON,602,20728666,PRJNA988238,SAMN36007479,Metagenome or environmental,11948847,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX20824627,USA,North America,"USA: Corvallis\, OR",49_A67,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,49_A67,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,49_A67,SRP446524
SRR25070631,AMPLICON,602,43322930,PRJNA988238,SAMN36007514,Metagenome or environmental,24851372,OREGON STATE UNIVERSITY,2020-07,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX20824626,USA,North America,"USA: Corvallis\, OR",89_D160,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,89_D160,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,89_D160,SRP446524
SRR25070632,AMPLICON,602,40494734,PRJNA988238,SAMN36007513,Metagenome or environmental,23570008,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX20824625,USA,North America,"USA: Corvallis\, OR",77_A13,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,77_A13,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:21:00Z,1,77_A13,SRP446524
SRR25070633,AMPLICON,602,40825232,PRJNA988238,SAMN36007512,Metagenome or environmental,23394691,OREGON STATE UNIVERSITY,2020-07,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20824624,USA,North America,"USA: Corvallis\, OR",65_D125,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,65_D125,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,65_D125,SRP446524
SRR25070634,AMPLICON,602,27132742,PRJNA988238,SAMN36007511,Metagenome or environmental,15845349,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX20824623,USA,North America,"USA: Corvallis\, OR",53_C91,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,53_C91,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:22:00Z,1,53_C91,SRP446524
SRR25070635,AMPLICON,602,36601600,PRJNA988238,SAMN36007510,Metagenome or environmental,21035288,OREGON STATE UNIVERSITY,2020-07,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX20824622,USA,North America,"USA: Corvallis\, OR",41_B197,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,41_B197,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,41_B197,SRP446524
SRR25070636,AMPLICON,602,14600306,PRJNA988238,SAMN36007588,Metagenome or environmental,8345628,OREGON STATE UNIVERSITY,2020-07,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX20824621,USA,North America,"USA: Corvallis\, OR",126_D119,Illumina MiSeq,rhizosphere,44.555881 N 123.214569 W,126_D119,PAIRED,PCR,METAGENOMIC,rhizosphere metagenome,ILLUMINA,2023-06-29T00:00:00Z,2023-06-29T13:20:00Z,1,126_D119,SRP446524
